Designation,Team,Player Name,Ranking
Bowler,Lucknow Super Giants,Mayank Yadav,151
Wicketkeeper Batter,Mumbai Indians,Quinton de Kock,122
Top order Batter,Mumbai Indians,Danish Malewar,
Wicketkeeper Batter,Mumbai Indians,Robin Minz,202
Wicketkeeper Batter,Mumbai Indians,Ryan Rickelton,43
Middle order Batter,Mumbai Indians,Sherfane Rutherford,95
Top order Batter,Mumbai Indians,Rohit Sharma,50
Batter,Mumbai Indians,Suryakumar Yadav,1
Allrounder,Mumbai Indians,Hardik Pandya,41
Allrounder,Mumbai Indians,Atharva Ankolekar,
Allrounder,Mumbai Indians,Raj Bawa,177
Allrounder,Mumbai Indians,Corbin Bosch,147
Allrounder,Mumbai Indians,Will Jacks,42
Allrounder,Mumbai Indians,Mayank Rawat,
Allrounder,Mumbai Indians,Naman Dhir,61
Bowling Allrounder,Mumbai Indians,Mitchell Santner,72
Bowling Allrounder,Mumbai Indians,Shardul Thakur,54
Allrounder,Mumbai Indians,Tilak Varma,96
Bowler,Mumbai Indians,Ashwani Kumar,93
Bowler,Mumbai Indians,Trent Boult,26
Bowler,Mumbai Indians,Jasprit Bumrah,19
Bowler,Mumbai Indians,Deepak Chahar,48
Bowler,Mumbai Indians,AM Ghazanfar,
Bowler,Mumbai Indians,Mayank Markande,
Bowler,Mumbai Indians,Mohd Izhar,
Bowler,Mumbai Indians,Raghu Sharma,
Top order Batter,Punjab Kings,Shreyas Iyer,8
Opening Batter,Punjab Kings,Priyansh Arya,9
Batter,Punjab Kings,Pyla Avinash,
Batter,Punjab Kings,Harnoor Singh,
Wicketkeeper Batter,Punjab Kings,Prabhsimran Singh,22
Wicketkeeper Batter,Punjab Kings,Vishnu Vinod,
Top order Batter,Punjab Kings,Nehal Wadhera,66
Allrounder,Punjab Kings,Azmatullah Omarzai,79
Allrounder,Punjab Kings,Cooper Connolly,
Bowling Allrounder,Punjab Kings,Marco Jansen,35
Allrounder,Punjab Kings,Musheer Khan,185
Allrounder,Punjab Kings,Mitchell Owen,186
Allrounder,Punjab Kings,Shashank Singh,64
Allrounder,Punjab Kings,Marcus Stoinis,88
Allrounder,Punjab Kings,Suryansh Shedge,195
Bowler,Punjab Kings,Arshdeep Singh,13
Bowler,Punjab Kings,Xavier Bartlett,156
Bowler,Punjab Kings,Yuzvendra Chahal,38
Bowler,Punjab Kings,Praveen Dubey,160
Bowler,Punjab Kings,Ben Dwarshuis,
Bowler,Punjab Kings,Lockie Ferguson,120
Bowler,Punjab Kings,Harpreet Brar,59
Bowler,Punjab Kings,Vishal Nishad,
Bowler,Punjab Kings,Vijaykumar Vyshak,104
Bowler,Punjab Kings,Yash Thakur,170
Opening Batter,Rajasthan Royals,Aman Rao,
Middle order Batter,Rajasthan Royals,Shubham Dubey,152
Middle order Batter,Rajasthan Royals,Shimron Hetmyer,109
Opening Batter,Rajasthan Royals,Yashasvi Jaiswal,11
Wicketkeeper Batter,Rajasthan Royals,Dhruv Jurel,78
Top order Batter,Rajasthan Royals,Riyan Parag,28
Wicketkeeper Batter,Rajasthan Royals,Lhuan-dre Pretorius,
Middle order Batter,Rajasthan Royals,Ravi Singh,
Top order Batter,Rajasthan Royals,Vaibhav Sooryavanshi,62
Allrounder,Rajasthan Royals,Sam Curran,144
Allrounder,Rajasthan Royals,Donovan Ferreira,191
Allrounder,Rajasthan Royals,Ravindra Jadeja,33
Bowler,Rajasthan Royals,Jofra Archer,34
Bowler,Rajasthan Royals,Brijesh Sharma,
Bowler,Rajasthan Royals,Nandre Burger,
Bowler,Rajasthan Royals,Tushar Deshpande,84
Bowler,Rajasthan Royals,Kwena Maphaka,155
Bowler,Rajasthan Royals,Adam Milne,
Bowler,Rajasthan Royals,Sushant Mishra,
Bowler,Rajasthan Royals,Vignesh Puthur,121
Bowler,Rajasthan Royals,Ravi Bishnoi,99
Bowler,Rajasthan Royals,Sandeep Sharma,63
Bowler,Rajasthan Royals,Kuldeep Sen,
Bowler,Rajasthan Royals,Yash Raj Punja,
Bowler,Rajasthan Royals,Yudhvir Singh,138
Top order Batter,Royal Challengers Bengaluru,Rajat Patidar,92
Wicketkeeper Batter,Royal Challengers Bengaluru,Jordan Cox,
Middle order Batter,Royal Challengers Bengaluru,Tim David,86
Top order Batter,Royal Challengers Bengaluru,Virat Kohli,15
Top order Batter,Royal Challengers Bengaluru,Devdutt Padikkal,85
Wicketkeeper Batter,Royal Challengers Bengaluru,Phil Salt,31
Wicketkeeper Batter,Royal Challengers Bengaluru,Jitesh Sharma,68
Allrounder,Royal Challengers Bengaluru,Jacob Bethell,146
Bowling Allrounder,Royal Challengers Bengaluru,Kanishk Chouhan,
Allrounder,Royal Challengers Bengaluru,Venkatesh Iyer,131
Allrounder,Royal Challengers Bengaluru,Vihaan Malhotra,
Allrounder,Royal Challengers Bengaluru,Mangesh Yadav,
Allrounder,Royal Challengers Bengaluru,Krunal Pandya,2
Bowling Allrounder,Royal Challengers Bengaluru,Romario Shepherd,65
Bowler,Royal Challengers Bengaluru,Abhinandan Singh,
Bowler,Royal Challengers Bengaluru,Satvik Deswal,
Bowler,Royal Challengers Bengaluru,Jacob Duffy,
Bowler,Royal Challengers Bengaluru,Josh Hazlewood,12
Bowler,Royal Challengers Bengaluru,Bhuvneshwar Kumar,18
Bowler,Royal Challengers Bengaluru,Vicky Ostwal,
Bowler,Royal Challengers Bengaluru,Rasikh Salam,173
Bowler,Royal Challengers Bengaluru,Suyash Sharma,57
Bowler,Royal Challengers Bengaluru,Swapnil Singh,
Bowler,Royal Challengers Bengaluru,Nuwan Thushara,145
Bowler,Royal Challengers Bengaluru,Yash Dayal,45
Wicketkeeper Batter,Sunrisers Hyderabad,Salil Arora,
Middle order Batter,Sunrisers Hyderabad,Travis Head,55
Wicketkeeper Batter,Sunrisers Hyderabad,Ishan Kishan,80
Wicketkeeper Batter,Sunrisers Hyderabad,Heinrich Klaasen,36
Batter,Sunrisers Hyderabad,Ravichandran Smaran,
Batter,Sunrisers Hyderabad,Aniket Verma,67
Allrounder,Sunrisers Hyderabad,Abhishek Sharma,17
Bowling Allrounder,Sunrisers Hyderabad,Brydon Carse,
Bowling Allrounder,Sunrisers Hyderabad,Harsh Dubey,133
Allrounder,Sunrisers Hyderabad,Jack Edwards,
Bowling Allrounder,Sunrisers Hyderabad,Krains Fuletra,
Allrounder,Sunrisers Hyderabad,Liam Livingstone,127
Allrounder,Sunrisers Hyderabad,Kamindu Mendis,123
Allrounder,Sunrisers Hyderabad,Nitish Kumar Reddy,125
Bowling Allrounder,Sunrisers Hyderabad,Harshal Patel,44
Bowling Allrounder,Sunrisers Hyderabad,Shivam Mavi,
Bowling Allrounder,Sunrisers Hyderabad,Shivang Kumar,
Bowler,Sunrisers Hyderabad,Pat Cummins,16
Bowler,Sunrisers Hyderabad,Amit Kumar,
Bowler,Sunrisers Hyderabad,Praful Hinge,
Bowler,Sunrisers Hyderabad,Eshan Malinga,76
Bowler,Sunrisers Hyderabad,Sakib Hussain,
Bowler,Sunrisers Hyderabad,Onkar Tarmale,
Bowler,Sunrisers Hyderabad,Jaydev Unadkat,94
Bowler,Sunrisers Hyderabad,Zeeshan Ansari,111
